ID_Provinsi;Provinsi;Tahun;Pengangguran;Jumlah AK;Pengeluaran Perkapita;PDRB provinsi;Upah (Rupiah Jam);PP IKM (Y to Y);PDRB (Rupiah) perkapita;Penduduk (ribu jiwa);Gini Ratio;PK-K;PK-M;PK-B;Industri Mikro;Industri Kecil
32;Jawa Barat;2018;1877431;22814361;1218078166;5.65;16843;1.4;40273;48475.5;0.405;7913;2884;74;493784;42423
33;Jawa Tengah;2018;815083;18228952;9385814161;5.3;11417;2.88;36771;34358.5;0.357;9560;1397;34;865215;49635
34;DI Yogyakarta;2018;75032;2226284;1302661.06;6.2;12554;7.15;34137;3818.3;0.422;1422;225;3;107489;5941
35;Jawa Timur;2018;847224;21679425;1006077521;5.47;12561;10.88;55411;39521.9;0.371;18455;2196;102;694062;85328
36;Banten;2018;494868;5845978;1384545717;5.77;20565;6.7;48370;12530.8;0.367;2079;906;31;101727;8232
51;Bali;2018;35811;2561518;1367032492;6.31;15889;13.23;54433;4309.2;0.364;1854;306;9;114363;4146
52;Nusa Tenggara Barat;2018;84293;2353873;9181992435;-4.5;11359;14.37;24706;5077.7;0.391;2867;217;14;86213;9992
53;Nusa Tenggara Timur;2018;77256;2708135;7047540575;5.11;12318;28.2;18418;5360.3;0.359;5280;371;8;160706;1528
61;Kalimantan Barat;2018;105787;2529357;1028671846;5.07;14614;7.54;38815;4985.1;0.325;5101;348;7;49533;3302
62;Kalimantan Tengah;2018;52937;1355300;1224306508;5.61;17489;3.89;52107;2612.6;0.344;1497;299;20;30830;810
63;Kalimantan Selatan;2018;92810;2131858;1226468999;5.08;15735;22.94;41046;4162.4;0.34;3485;432;7;68383;1979
64;Kalimantan Timur;2018;110940;1731909;1560354488;2.64;21303;43.3;174165;3573.8;0.342;3600;1190;64;32659;1066
65;Kalimantan Utara;2018;16953;331729;1414572811;5.36;18931;8.89;119414;682.8;0.304;1404;207;13;5939;143
71;Sulawesi Utara;2018;78891;1193407;1161528463;6;16954;9.63;48105;2474.4;0.372;2250;277;12;47820;631
72;Sulawesi Tengah;2018;51584;1531546;9406343064;20.6;13462;17.12;55519;3001.9;0.317;3240;296;9;83028;6396
73;Sulawesi Selatan;2018;208413;4214722;1016243577;7.04;15777;13.22;52642;8748.1;0.388;8989;1398;29;107643;1536
74;Sulawesi Tenggara;2018;41301;1295516;9697493867;6.4;15944;33.31;44492;2623.6;0.392;3082;301;8;69374;620
75;Gorontalo;2018;21892;591531;8997278758;6.49;11891;42.65;31828;1166.1;0.417;723;138;3;28040;1982
76;Sulawesi Barat;2018;19860;660745;8196463656;6.26;12144;7.77;32059;1340.1;0.366;1270;47;1;26197;495
81;Maluku;2018;55595;799492;9658376101;5.91;14923;16.86;24269;1749.5;0.326;1825;238;12;45771;188
82;Maluku Utara;2018;26565;573989;1006398366;7.86;15864;24.01;29586;1218.8;0.336;2176;314;7;28859;452
91;Papua Barat;2018;28972;448920;1245517.04;6.25;21727;0.76;84958;941.4;0.391;2505;503;20;7080;226
94;Papua;2018;55734;1856461;1124695946;7.32;25987;-3.98;63386;3300.2;0.398;4339;796;32;15571;271
11;Aceh;2017;150265;2288777;9029945923;4.18;14809;20.99;28097;5189.5;0.329;3888;639;19;96294;2983
12;Sumatera Utara;2017;377288;6743277;9098176633;5.12;13396;0.66;48004;14262.1;0.335;6472;1174;33;145716;6750
